gene_upper	bulk_log2FC	bulk_FDR	pseudobulk_logFC	pseudobulk_FDR	CellType	both_fdr05	core_gene	locked33
EMC1	0.0502524018924487	0.680781869583552	0.349865466120384	0.140742470003277	Cap	False	False	False
EMC10	0.0604484451234693	0.368677699797087	0.271959249626711	0.0690864436022986	Cap	False	False	False
EMC2	0.0104864752790192	0.936946099487775	0.364687430621274	0.0320541473292666	Cap	False	False	False
EMC3	0.0092975242168289	0.922686640143919	0.367688121094724	0.0150790321639445	Cap	False	False	False
EMC4	0.246502043572331	0.0151721135135879	0.8760246606135	2.72497776408935e-07	Cap	True	False	False
EMC6	0.182483888287269	0.242629657815743	0.977510662921262	1.80600005607994e-10	Cap	False	False	False
EMC7	0.231449919977698	0.0079370476822828	0.841089139589016	2.18702815711028e-07	Cap	True	False	False
EMC8	-0.0925002587505303	0.380231562906181	0.156004314165428	0.404322880741432	Cap	False	False	False
EMCN	0.420229423665283	3.2222003832305e-13	0.681674566084022	1.3983680344812e-05	Cap	True	False	False
EMD	0.0406743883424861	0.75759132988051	0.610500855427941	0.0010522681142709	Cap	False	False	False
EMG1	-0.0535867063598398	0.558695511049011	0.655974749948299	5.62037449621339e-05	Cap	False	False	False
EMID1	-0.35802451669404	5.81921377136714e-06	-0.69430367900603	0.0225263613009118	Cap	True	False	False
EMILIN1	0.333981751333203	1.48062354790801e-07	-0.248734894524523	0.289124762630713	Cap	False	False	False
EML1	0.0905808427750645	0.184469796426407	-0.0616160367113759	0.747853584528541	Cap	False	False	False
EML3	0.0375605938135687	0.670624039318483	-0.35521404921256	0.275318096772089	Cap	False	False	False
EML4	-0.0486868748406581	0.544569076089605	-0.35158602134129	0.0890380894255456	Cap	False	False	False
EMP1	0.319818558382229	8.65293113232669e-08	1.00237109812869	4.33876751109509e-12	Cap	True	False	False
EMP2	0.226645330537275	0.112512011933521	0.583029469488657	0.0588387233441472	Cap	False	False	False
EMP3	0.0964663787583577	0.611626688222062	0.774141535837152	5.2095656693671e-05	Cap	False	False	False
EMSY	-0.400233683038629	5.16241265134143e-07	-0.805082583690689	2.63565247680688e-05	Cap	True	False	False
ENAH	0.197258025473831	0.277297423984428	0.505501541074596	0.150268523619539	Cap	False	False	False
ENC1	0.194685430957326	0.246439627354751	0.810919947450664	0.0005019867973444	Cap	False	False	False
ENDOD1	0.704513133802723	2.3313451006552002e-26	1.29266271924009	9.83652778133824e-09	Cap	True	False	False
ENDOU	0.0347733764470322	0.866385035437365	0.666949239520423	0.0218956026886549	Cap	False	False	False
ENDOV	-0.188693058727803	0.0134645123093296	-0.598642769552199	0.0573554422504055	Cap	False	False	False
ENG	0.435101502889501	1.53285721480372e-48	1.0133337829651	6.02504688399952e-08	Cap	True	False	False
ENHO	1.19492098651165	2.2396217072184298e-29	2.14603626700521	4.03404361743521e-12	Cap	True	False	False
ENO1	0.055650396362678	0.577719836140646	0.751550058931676	0.0029097789764258	Cap	False	False	False
ENOPH1	-0.116450817941232	0.397647500602656	-0.112391362525946	0.797703991011998	Cap	False	False	False
ENOX2	-0.143324645498161	0.214861718727263	-0.279134774314367	0.414751119878409	Cap	False	False	False
ENPP2	-1.25933942008468	2.91067251482121e-69	-1.49696892805156	2.4596539243421903e-09	Cap	True	False	False
ENPP4	0.128252740042905	0.0614645860873664	-0.152193733441023	0.509322157574148	Cap	False	False	False
ENSA	-0.01324695446432	0.891401810301966	-0.0526913169418273	0.810432373616785	Cap	False	False	False
ENTPD1	0.293871016885553	0.0100748616672454	-0.621145068501812	0.0108596707515444	Cap	True	False	False
ENY2	0.130864942050437	0.214593930589164	0.169236989275492	0.392703299448655	Cap	False	False	False
EOGT	-0.387964826274538	6.12038204254853e-10	-0.876658018714945	2.44898225331667e-05	Cap	True	False	False
EP300	-0.243615685904284	0.0175900313238192	-0.405311691278441	0.0271108669438727	Cap	True	False	False
EP400	-0.155942507915706	0.0974402092530601	-0.35448621213798	0.0231098455706925	Cap	False	False	False
EPAS1	-0.293177222474178	1.2255677426592499e-11	-1.13252454615821	2.05945524175649e-10	Cap	True	False	False
EPB41	-0.538064646918358	3.24713564680809e-06	-1.68539132442041	2.57081715417537e-13	Cap	True	False	False
EPB41L2	0.0629422896153654	0.186578758829684	-0.151654766486173	0.285783336045865	Cap	False	False	False
EPB41L4AOS	0.0456341232509467	0.852877398679648	0.739353369919468	0.000992565697316	Cap	False	False	False
EPC1	-0.232429709568469	0.0021180450858207	-0.385706759069823	0.0136491780642665	Cap	True	False	False
EPC2	-0.280287890074117	0.000670930498933	-0.542005448141973	0.0051065751426495	Cap	True	False	False
EPHA2	0.170998448483244	0.154201080876859	1.40249442791375	2.26968711209718e-10	Cap	False	False	False
EPHA4	-0.324145113028693	0.0341208084572189	-1.79673002514004	5.1006269052243795e-12	Cap	True	False	False
EPHB4	-0.164285600312028	0.0641257283165089	-0.997556733817188	2.44073311543503e-09	Cap	False	False	False
EPHX1	1.45187399164422	1.5536730146316298e-116	1.40458297321498	3.57052167741214e-08	Cap	True	False	False
EPM2AIP1	0.115642787965003	0.242005502709006	-0.220390923567085	0.365390389278784	Cap	False	False	False
EPN1	0.0348252112991155	0.541853592727243	-0.0192916245766134	0.93420831336422	Cap	False	False	False
EPN2	-0.348924989964218	1.42844398646946e-10	-1.06067452451782	2.6921079455372e-08	Cap	True	False	False
EPRS	0.0332170830482439	0.708512429908878	0.448985726371229	0.0041977299405216	Cap	False	False	False
EPS15	-0.0714261385292661	0.296681230623729	-0.402778575586583	0.0123506696096369	Cap	False	False	False
EPS15L1	-0.0778743856097843	0.284907093028194	-0.349242582154243	0.111592648745788	Cap	False	False	False
ERAP1	0.0465905434900563	0.76717006066445	0.250370961184946	0.248059144704466	Cap	False	False	False
ERBB2	-0.413128411017267	9.65924890699591e-05	-1.14731762091875	0.0008175543447241	Cap	True	False	False
ERBIN	-0.418697983786557	1.82677541199444e-10	-0.657178211236084	9.6680644810458e-06	Cap	True	False	False
ERC1	-0.0746684660905764	0.52531964800218	-0.307951093349225	0.0781412214901487	Cap	False	False	False
