source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Lymphoid	Cap	Col5a1	Itgb1	Col5a1–Itgb1	1	0	0	-0.5118257526865166	0.5952380952380952	0.7872914122914123	0.0	False
Fibroblast	Cap-a	Thbs2	Cd36	Thbs2–Cd36	1	0	1	-0.5119460962019868	0.0021645021645021645	0.00716815651880587	0.0	False
Epithelial	Cap	Pdgfa	Pdgfrb	Pdgfa–Pdgfrb	1	0	0	-0.5122193592205537	0.4069264069264069	0.5582497143190784	0.0	False
Fibroblast	Cap	Wnt5b	Fzd6	Wnt5b–Fzd6	2	0	2	-0.512333823558139	0.0021645021645021645	0.007373677498158825	0.0	False
Cap-a	Cap	Fabp5	Rxra	Fabp5–Rxra	1	0	1	-0.5130569464570041	0.0021645021645021645	0.006764069264069264	0.0	False
Epithelial	Cap	Mfge8	Pdgfrb	Mfge8–Pdgfrb	1	0	0	-0.5131668863045504	0.2619047619047619	0.40016349887594527	0.0	False
Epithelial	Cap	Efnb1	Erbb2	Efnb1–Erbb2	2	0	1	-0.5133235854005116	0.0021645021645021645	0.009397106958082567	0.0	False
Cap	Cap-a	Wnt5a	Fzd1	Wnt5a–Fzd1	1	0	0	-0.5133848793488862	0.1277056277056277	0.21789127314733783	0.0	False
Cap-a	Cap	Serpinc1	Sdc2	Serpinc1–Sdc2	1	0	0	-0.5134539651907017	0.05411255411255411	0.09868550901985551	0.0	False
Cap	Cap-a	Notch2	Jag2	Notch2–Jag2	1	0	0	-0.5138119479444936	0.35714285714285715	0.49795468848332286	0.0	False
Cap-a	Cap	Jag2	Notch2	Jag2–Notch2	1	0	0	-0.5138119479444936	0.35714285714285715	0.48590864917395526	0.0	False
Mural	Cap	Sema4d	Erbb2	Sema4d–Erbb2	2	0	0	-0.5138252877878146	0.19480519480519481	0.6541889483065954	0.0	False
Mural	Cap-a	Col4a4	Cd93	Col4a4–Cd93	1	0	0	-0.5145212758078577	0.05194805194805195	0.09235209235209237	0.0	False
Lymphoid	Cap-a	Apoe	Sorl1	Apoe–Sorl1	1	0	0	-0.514709943133177	0.5238095238095238	0.7219407857705731	0.0	False
Fibroblast	Cap-a	Csf1	Csf1r	Csf1–Csf1r	1	0	0	-0.5147548594930065	0.3116883116883117	0.4197914761295043	0.0	False
Epithelial	Cap	Shh	Hhip	Shh–Hhip	2	0	1	-0.5151951402322112	0.01948051948051948	0.04832797864156749	0.0	False
Cap	Cap	Wnt5a	Fzd5	Wnt5a–Fzd5	1	0	0	-0.5152646270580099	0.1774891774891775	0.2734618322853617	0.0	False
Mural	Cap	Hbegf	Erbb2	Hbegf–Erbb2	2	0	1	-0.5153785945453528	0.0021645021645021645	0.0065581184984170055	0.0	False
Epithelial	Cap	Wnt11	Fzd6	Wnt11–Fzd6	2	0	2	-0.5154306471440921	0.012987012987012988	0.056696926262143656	0.0	False
Cap	Cap	Vegfd	Itga2	Vegfd–Itga2	2	1	1	-0.5154521553429616	0.023809523809523808	0.05066964285714285	0.0	False
Lymphoid	Cap	Rps27a	Erbb2	Rps27a–Erbb2	2	0	1	-0.5154727064964106	0.0021645021645021645	0.016339351705205365	0.0	False
Lymphoid	Cap	Il6	Il6ra	Il6–Il6ra	1	0	0	-0.5155900068662116	0.24242424242424243	0.46893939393939393	0.0	False
Fibroblast	Cap	Fn1	Sdc2	Fn1–Sdc2	2	1	1	-0.5156197315111635	0.03896103896103896	0.07579860897396443	0.0	False
Epithelial	Cap-a	Igfbp4	Igf1	Igfbp4–Igf1	1	0	1	-0.5157445762612298	0.023809523809523808	0.05726451164407369	0.0	False
Myeloid	Cap-a	C3	Ifitm1	C3–Ifitm1	1	0	0	-0.5158323734175663	0.07792207792207792	0.16477272727272727	0.0	False
Epithelial	Cap-a	Grem2	Bmp6	Grem2–Bmp6	1	0	1	-0.5159502965598741	0.008658008658008658	0.026414943081609746	0.0	False
Epithelial	Cap-a	Gnai2	Cav1	Gnai2–Cav1	1	0	1	-0.5159890918660013	0.0021645021645021645	0.00885967035035358	0.0	False
